City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Tiksi,5.56,90,100,6.55,RU,71.6872,128.8694,2022-10-29 19:57:28
95,Bambous Virieux,73.65,78,75,4.61,MU,-20.3428,57.7575,2022-10-29 19:57:36
96,Phangnga,73.44,94,74,4.07,TH,8.4509,98.5298,2022-10-29 20:01:52
97,Iracoubo,77.09,91,100,10.71,GF,5.4802,-53.2011,2022-10-29 20:01:52
98,Saskylakh,-3.96,88,99,8.95,RU,71.9167,114.0833,2022-10-29 20:01:52
99,Sitka,39.2,93,100,8.86,US,57.0531,-135.33,2022-10-29 20:01:53
100,Egvekinot,7.99,73,100,11.72,RU,66.3167,-179.1667,2022-10-29 20:01:53
101,Waingapu,77.14,75,100,7.11,ID,-9.6567,120.2641,2022-10-29 20:01:54
102,Loreto,75.85,24,10,10.22,MX,22.2667,-101.9667,2022-10-29 19:58:28
103,Nelidovo,52.83,87,100,11.88,RU,56.2211,32.7774,2022-10-29 20:01:54
104,Simoes,91.67,25,95,10.51,BR,-7.5989,-40.8178,2022-10-29 20:01:55
105,Vila Velha,80.55,86,20,20.71,BR,-20.3297,-40.2925,2022-10-29 19:58:21
106,Qaanaaq,-11.4,66,0,8.99,GL,77.484,-69.3632,2022-10-29 20:01:55
107,Victoria,75.38,66,100,5.99,HK,22.2855,114.1577,2022-10-29 20:01:56
108,Sydney,59.27,62,20,11.5,AU,-33.8679,151.2073,2022-10-29 19:58:47
109,Pochutla,89.82,63,42,6.24,MX,15.7432,-96.4661,2022-10-29 20:01:56
110,Boke,78.26,82,2,1.54,GN,10.9409,-14.2967,2022-10-29 20:01:57
111,Richards Bay,69.73,66,13,16.82,ZA,-28.783,32.0377,2022-10-29 20:01:57
112,Agropoli,62.1,64,0,4.07,IT,40.3469,14.9966,2022-10-29 20:01:58
113,Carnarvon,65.37,68,95,22.68,AU,-24.8667,113.6333,2022-10-29 20:01:58
114,Hobart,45.05,83,20,4.61,AU,-42.8794,147.3294,2022-10-29 19:57:41
115,Bassano,54.64,26,20,14.2,CA,50.7834,-112.4685,2022-10-29 20:01:59
116,Cintalapa,82.35,59,84,8.99,MX,16.6951,-93.7272,2022-10-29 20:01:59
117,Borogontsy,3.85,96,100,5.08,RU,62.6683,131.1683,2022-10-29 20:01:59
118,Rudnya,54.46,85,100,17.54,RU,54.947,31.0934,2022-10-29 20:02:00
119,Ginda,50.52,37,0,6.22,IN,30.6945,78.4932,2022-10-29 20:02:00
120,Broken Hill,61.93,49,100,8.77,AU,-31.95,141.4333,2022-10-29 20:02:01
121,Kodiak,35.58,98,100,17.81,US,57.79,-152.4072,2022-10-29 20:02:01
122,Berlevag,39.15,65,75,29.93,NO,70.8578,29.0864,2022-10-29 20:02:02
123,Newport,60.64,84,59,14.43,GB,51.5877,-2.9984,2022-10-29 20:00:02
124,Camana,65.44,71,5,7.56,PE,-16.6228,-72.7111,2022-10-29 20:02:03
125,Plouzane,60.85,91,100,14.97,FR,48.3833,-4.6167,2022-10-29 20:02:04
126,Road Town,82.44,83,75,16.11,VG,18.4167,-64.6167,2022-10-29 19:59:54
127,Opuwo,75.79,37,96,8.72,NA,-18.0607,13.84,2022-10-29 20:02:05
128,Xuddur,75.78,73,87,10.49,SO,4.1213,43.8894,2022-10-29 20:02:05
129,Ayabaca,65.25,33,98,8.81,PE,-4.6398,-79.7149,2022-10-29 20:02:06
130,Airai,60.93,94,100,1.34,TL,-8.9266,125.4092,2022-10-29 20:02:06
131,Cidreira,69.26,90,100,14.81,BR,-30.1811,-50.2056,2022-10-29 20:02:06
132,Padang,76.51,87,100,2.91,ID,-0.9492,100.3543,2022-10-29 20:00:29
133,Isangel,79.03,80,0,2.01,VU,-19.55,169.2667,2022-10-29 19:59:11
134,Anadyr,0.07,90,48,11.97,RU,64.75,177.4833,2022-10-29 20:01:11
135,Qatana,59.43,36,0,4.16,SY,33.4354,36.0815,2022-10-29 20:03:08
136,Sao Geraldo Do Araguaia,88.25,53,100,4.68,BR,-6.4006,-48.555,2022-10-29 20:03:08
137,Emborion,51.3,63,1,2.44,GR,40.4833,21.55,2022-10-29 20:03:09
138,Yerbogachen,20.5,92,83,7.0,RU,61.2767,108.0108,2022-10-29 20:03:09
139,Luanda,77.0,88,20,8.05,AO,-8.8368,13.2343,2022-10-29 20:03:10
140,Sistranda,44.56,61,94,8.39,NO,63.7256,8.834,2022-10-29 19:59:59
141,Kaitangata,54.64,96,100,3.33,NZ,-46.2817,169.8464,2022-10-29 20:03:10
142,Vianopolis,81.88,42,99,10.13,BR,-16.7419,-48.5164,2022-10-29 20:00:10
143,Shalya,29.95,75,100,6.69,RU,57.2471,58.7298,2022-10-29 20:03:11
144,Owando,72.57,91,67,2.73,CG,-0.4819,15.8999,2022-10-29 20:03:12
145,Guerrero Negro,75.69,45,0,14.14,MX,27.9769,-114.0611,2022-10-29 20:03:12
146,Belozerskoye,24.06,75,100,6.55,RU,55.8214,65.5842,2022-10-29 20:03:13
147,Kapaa,82.38,80,3,5.99,US,22.0752,-159.319,2022-10-29 20:03:14
148,Campo Maior,99.79,19,100,6.55,BR,-4.8278,-42.1686,2022-10-29 20:03:15
149,Nouadhibou,72.32,76,53,13.69,MR,20.931,-17.0347,2022-10-29 20:03:15
150,Mar Del Plata,58.95,69,30,5.01,AR,-38.0023,-57.5575,2022-10-29 20:03:15
151,Churapcha,3.38,97,100,4.88,RU,62.0025,132.4325,2022-10-29 20:03:16
152,Klaksvik,45.52,97,97,16.58,FO,62.2266,-6.589,2022-10-29 20:03:16
153,Skibbereen,58.1,88,37,21.9,IE,51.55,-9.2667,2022-10-29 20:03:17
154,Clyde River,0.55,91,99,4.29,CA,70.4692,-68.5914,2022-10-29 20:03:17
155,Saint-Philippe,71.19,81,40,7.76,RE,-21.3585,55.7679,2022-10-29 20:03:18
156,Fort Nelson,37.94,49,75,1.99,CA,58.8053,-122.7002,2022-10-29 20:02:12
157,Miyazu,53.8,68,99,7.02,JP,35.5333,135.1833,2022-10-29 20:03:18
158,Batemans Bay,56.1,70,0,3.8,AU,-35.7167,150.1833,2022-10-29 20:00:03
159,Prince Rupert,42.49,93,100,17.81,CA,54.3161,-130.3201,2022-10-29 20:00:33
160,Husavik,31.82,74,70,10.65,IS,66.0449,-17.3389,2022-10-29 20:03:20
161,Marfino,49.95,92,100,11.18,RU,55.7028,37.3822,2022-10-29 20:03:20
162,Quchan,50.95,79,93,10.58,IR,37.106,58.5095,2022-10-29 20:03:21
163,Yellowknife,23.45,82,81,10.22,CA,62.456,-114.3525,2022-10-29 20:03:21
164,Tongchuan,51.6,92,100,2.37,CN,35.0806,109.0897,2022-10-29 20:03:22
165,Omboue,76.8,90,59,6.26,GA,-1.5746,9.2618,2022-10-29 20:03:23
166,Lasa,53.37,71,45,1.68,IT,46.6166,10.7002,2022-10-29 20:03:23
167,Natchitoches,67.98,77,100,8.05,US,31.7668,-93.1335,2022-10-29 20:03:24
168,Namatanai,80.28,79,66,5.79,PG,-3.6667,152.4333,2022-10-29 20:03:24
169,Roald,48.33,93,75,8.05,NO,62.5833,6.1333,2022-10-29 20:03:24
170,Kharp,19.4,98,100,3.06,RU,66.8014,65.8081,2022-10-29 20:03:25
171,Mecca,81.45,66,7,2.59,SA,21.4267,39.8261,2022-10-29 20:00:11
172,Kitimat,41.38,28,100,6.24,CA,54.0524,-128.6534,2022-10-29 20:03:26
173,Usinsk,32.88,98,100,19.84,RU,65.9939,57.5281,2022-10-29 20:03:27
174,Alofi,75.83,83,92,19.62,NU,-19.0595,-169.9187,2022-10-29 20:03:27
175,Pacific Grove,71.65,66,0,10.0,US,36.6177,-121.9166,2022-10-29 20:03:28
176,Lahan,69.44,74,0,4.03,NP,26.7296,86.4951,2022-10-29 20:03:28
177,Kabare,62.46,90,100,2.37,CD,-2.4683,28.8242,2022-10-29 20:03:29
178,Sonepur,63.61,65,0,1.5,IN,20.8333,83.9167,2022-10-29 20:03:29
179,Kropotkin,45.55,76,26,5.95,RU,45.4375,40.5756,2022-10-29 20:04:29
180,Simao,63.19,76,87,1.14,CN,22.7886,100.9748,2022-10-29 20:04:30
181,Pirovskoye,27.52,86,99,8.97,RU,57.6267,92.2658,2022-10-29 20:04:30
182,Selfoss,38.05,79,100,7.94,IS,63.9331,-20.9971,2022-10-29 20:04:30
183,Maningrida,81.01,66,35,3.42,AU,-12.0667,134.2667,2022-10-29 20:04:31
184,Mayo,64.36,51,0,5.75,US,38.8876,-76.5119,2022-10-29 20:04:31
185,Constitucion,60.84,81,50,12.71,CL,-35.3333,-72.4167,2022-10-29 20:04:32
186,Kitgum,70.27,81,100,3.65,UG,3.2783,32.8867,2022-10-29 20:04:32
187,Boddam,53.98,90,100,22.41,GB,57.4667,-1.7833,2022-10-29 20:04:33
188,Bousso,83.64,28,3,1.36,TD,10.4795,16.7117,2022-10-29 20:04:33
189,Along,58.21,80,0,1.72,IN,28.1667,94.7667,2022-10-29 20:04:34
190,Kenitra,66.96,51,100,3.42,MA,34.261,-6.5802,2022-10-29 20:04:34
191,Svetlaya,38.98,71,93,5.95,RU,46.5389,138.3297,2022-10-29 20:04:35
192,Matara,76.46,87,100,2.33,LK,5.9485,80.5353,2022-10-29 20:04:35
193,Atar,85.51,9,63,7.52,MR,20.5169,-13.0499,2022-10-29 20:04:35
194,Ahuimanu,83.91,69,20,14.97,US,21.4447,-157.8378,2022-10-29 20:04:36
195,Katsuura,57.69,66,98,13.27,JP,35.1333,140.3,2022-10-29 20:04:36
196,Codrington,41.95,94,52,5.97,AU,-38.2667,141.9667,2022-10-29 20:04:37
197,Rocha,69.57,71,3,12.28,UY,-34.4833,-54.3333,2022-10-29 20:04:37
198,Dunedin,56.8,66,100,4.0,NZ,-45.8742,170.5036,2022-10-29 20:00:14
199,Ancud,48.78,61,27,19.53,CL,-41.8697,-73.8203,2022-10-29 20:04:17
200,Jackson,62.04,52,100,3.0,US,42.4165,-122.8345,2022-10-29 20:04:38
201,Ponta Do Sol,72.01,89,100,2.33,PT,32.6667,-17.1,2022-10-29 20:04:38
202,La Ronge,48.88,45,88,11.77,CA,55.1001,-105.2842,2022-10-29 20:04:39
203,Aguimes,72.23,78,20,17.27,ES,27.9054,-15.4461,2022-10-29 20:04:39
204,Buckingham,62.46,86,77,4.0,GB,51.9997,-0.9878,2022-10-29 20:04:39
205,Iqaluit,16.7,78,100,4.16,CA,63.7506,-68.5145,2022-10-29 20:00:14
206,Cabedelo,81.27,75,83,17.49,BR,-6.9811,-34.8339,2022-10-29 20:04:40
207,Kaeo,66.33,97,100,8.46,NZ,-35.1,173.7833,2022-10-29 20:04:40
208,Carberry,57.87,33,19,8.79,CA,49.8689,-99.3602,2022-10-29 20:04:41
209,San Quintin,69.71,64,0,11.18,MX,30.4833,-115.95,2022-10-29 20:04:41
210,Nishihara,74.86,88,40,12.66,JP,26.1842,127.7558,2022-10-29 20:04:41
211,Kutum,75.07,23,50,13.49,SD,14.2,24.6667,2022-10-29 20:04:42
212,Saint Anthony,68.86,46,0,14.97,US,45.0205,-93.218,2022-10-29 20:04:42
213,Nantucket,60.91,75,0,11.5,US,41.2835,-70.0995,2022-10-29 20:04:42
214,Chokurdakh,7.54,95,100,9.73,RU,70.6333,147.9167,2022-10-29 20:04:43
215,Jamestown,64.06,32,0,8.05,US,42.097,-79.2353,2022-10-29 20:04:34
216,Manggar,77.92,86,72,3.58,ID,-2.8833,108.2667,2022-10-29 20:04:44
217,Ariquemes,75.6,94,100,3.09,BR,-9.9133,-63.0408,2022-10-29 20:00:16
218,Banda Aceh,78.19,85,100,9.06,ID,5.5577,95.3222,2022-10-29 20:04:44
219,Lohja,44.56,67,14,14.52,FI,60.2486,24.0653,2022-10-29 20:04:44
220,Farmington,60.21,25,0,8.05,US,36.7281,-108.2187,2022-10-29 20:04:09
221,Nicoya,85.82,60,51,0.31,CR,10.1483,-85.452,2022-10-29 20:04:45
222,Solok,70.77,94,100,2.28,ID,-0.7918,100.6593,2022-10-29 20:04:45
223,Stanislav,56.21,81,99,16.55,UA,46.5691,32.1478,2022-10-29 20:04:46
224,Inirida,73.63,98,100,4.21,CO,3.8653,-67.9239,2022-10-29 20:04:46
225,Rawicz,61.14,91,100,5.37,PL,51.6095,16.8585,2022-10-29 20:05:46
226,Dali,53.58,91,2,2.26,CN,25.7,100.1833,2022-10-29 20:05:47
227,San Patricio,76.89,43,0,13.02,US,28.017,-97.5169,2022-10-29 20:05:47
228,Kumla,51.75,93,4,10.36,SE,59.1277,15.1434,2022-10-29 20:05:48
229,Vostok,24.89,83,3,1.92,RU,46.4856,135.8833,2022-10-29 20:05:48
230,Bilibino,-3.51,100,100,1.16,RU,68.0546,166.4372,2022-10-29 20:05:48
231,Qostanay,10.69,92,0,4.47,KZ,53.1667,63.5833,2022-10-29 20:05:49
232,Lang Son,65.98,85,5,3.58,VN,21.8333,106.7333,2022-10-29 20:05:49
233,Kaihua,58.95,96,64,2.01,CN,23.3687,104.28,2022-10-29 20:05:49
234,Lake Shore,65.35,52,0,8.05,US,39.1071,-76.485,2022-10-29 20:05:50
235,Talnakh,11.08,96,94,6.17,RU,69.4865,88.3972,2022-10-29 20:05:50
236,Saldanha,61.97,84,100,18.05,ZA,-33.0117,17.9442,2022-10-29 20:05:52
237,Ukholovo,48.4,95,100,14.56,RU,53.7929,40.4892,2022-10-29 20:05:52
238,Sao Miguel Do Iguacu,70.09,94,71,10.16,BR,-25.3481,-54.2378,2022-10-29 20:01:27
239,Ilulissat,33.82,75,100,5.75,GL,69.2167,-51.1,2022-10-29 20:05:53
240,Natal,79.66,70,34,13.94,BR,-5.795,-35.2094,2022-10-29 20:03:55
241,Namie,49.71,73,0,8.08,JP,37.4833,141.0,2022-10-29 20:05:53
242,San Antonio,76.06,43,20,11.5,US,29.4241,-98.4936,2022-10-29 20:02:40
243,Ostrovnoy,41.7,93,100,24.72,RU,68.0531,39.5131,2022-10-29 20:05:53
244,Stoenesti,50.97,61,9,6.62,RO,45.25,25.1667,2022-10-29 20:05:54
245,Abnub,71.67,42,0,8.57,EG,27.2696,31.1511,2022-10-29 20:05:54
246,Mbengwi,64.29,94,100,2.46,CM,6.0167,10.0,2022-10-29 20:05:55
247,Mao,66.76,88,20,5.75,ES,39.8885,4.2658,2022-10-29 20:05:55
248,Liberal,67.24,27,0,5.75,US,37.0431,-100.921,2022-10-29 20:05:56
249,Semenivka,51.94,90,100,13.6,UA,52.1783,32.5818,2022-10-29 20:05:56
250,Belmonte,79.16,74,15,8.5,BR,-15.8631,-38.8828,2022-10-29 20:05:56
251,Grudziadz,55.0,84,100,6.69,PL,53.4841,18.7537,2022-10-29 20:05:57
252,Kontagora,77.4,41,22,3.49,NG,10.3999,5.4695,2022-10-29 20:05:57
253,Monroe,68.41,43,40,4.0,US,43.1501,-77.6831,2022-10-29 20:05:23
254,Hualmay,65.91,72,100,9.08,PE,-11.0964,-77.6139,2022-10-29 20:05:58
255,Pudozh,49.01,95,100,14.09,RU,61.8099,36.5345,2022-10-29 20:05:58
256,Myitkyina,66.58,75,0,2.26,MM,25.3833,97.4,2022-10-29 20:05:59
257,Beasain,67.28,67,96,6.44,ES,43.0502,-2.2009,2022-10-29 20:05:59
258,Chuy,81.52,50,3,5.37,UY,-33.6971,-53.4616,2022-10-29 20:05:59
259,Rokiskis,49.5,84,100,15.1,LT,55.9667,25.5833,2022-10-29 20:06:00
